depth,gamma
2862.0203,53.2597
2862.187,51.5693
2862.3536,51.7941
2862.5203,52.3508
2862.687,56.6437
2862.8536,52.7676
2863.0203,51.9262
2863.187,50.711
2863.3536,55.493
2863.5203,56.1909
2863.687,55.625
2863.8536,55.5686
2864.0203,53.4337
2864.187,54.9405
2864.3536,54.191
2864.5203,53.9645
2864.687,57.9797
2864.8536,59.3903
2865.0203,54.651
2865.187,46.6225
2865.3536,44.1702
2865.5203,50.5199
2865.687,51.0199
2865.8536,54.778
2866.0203,57.0588
2866.187,58.4047
2866.3536,52.2204
2866.5203,49.1129
2866.687,45.3508
2866.8536,48.7362
2867.0203,49.2403
2867.187,53.7404
2867.3536,51.0041
2867.5203,46.6629
2867.687,39.0934
2867.8536,39.0151
2868.0203,46.174
2868.187,50.8328
2868.3536,52.0662
2868.5203,46.4863
2868.687,48.1584
2868.8536,48.1265
2869.0203,46.908
2869.187,45.2242
2869.3536,42.9048
2869.5203,45.6494
2869.687,45.5089
2869.8536,48.141
2870.0203,44.5306
2870.187,44.0553
2870.3536,43.8109
2870.5203,46.4318
2870.687,43.0253
2870.8536,41.0514
2871.0203,45.4619
2871.187,46.694
2871.3536,52.1455
2871.5203,50.5576
2871.687,53.3237
2871.8536,49.5557
2872.0203,50.2053
2872.187,49.4696
2872.3536,50.2887
2872.5203,48.3825
2872.687,50.4436
2872.8536,47.6552
2873.0203,46.8406
2873.187,44.9235
2873.3536,45.7066
2873.5203,44.7677
2873.687,49.6869
2873.8536,53.5852
2874.0203,58.2453
2874.187,58.7249
2874.3536,57.1707
2874.5203,55.8185
2874.687,56.1645
2874.8536,61.5413
2875.0203,60.903
2875.187,59.6671
2875.3536,55.3376
2875.5203,54.2671
2875.687,54.633
2875.8536,53.0092
2876.0203,51.9882
2876.187,50.3421
2876.3536,52.131
2876.5203,54.0054
2876.687,55.9577
2876.8536,59.8449
2877.0203,59.4604
2877.187,56.7162
2877.3536,55.2388
2877.5203,57.0745
2877.687,57.3279
2877.8536,53.6933
2878.0203,54.027
2878.187,55.7131
2878.3536,56.6787
2878.5203,53.2035
2878.687,54.8
2878.8536,57.2219
2879.0203,60.8286
2879.187,59.2547
2879.3536,55.4083
2879.5203,53.7197
2879.687,54.1013
2879.8536,56.6228
2880.0203,54.7254
2880.187,53.0832
2880.3536,51.5892
2880.5203,51.8024
2880.687,56.6941
2880.8536,63.8331
2881.0203,67.7278
2881.187,62.9164
2881.3536,56.9407
2881.5203,54.3826
2881.687,54.1713
2881.8536,54.3699
2882.0203,55.4489
2882.187,58.4387
2882.3536,61.0027
2882.5203,61.7982
2882.687,60.7892
2882.8536,57.1338
2883.0203,53.2403
2883.187,47.6535
2883.3536,50.8068
2883.5203,55.06
2883.687,59.8499
2883.8536,58.5567
2884.0203,59.9387
2884.187,64.6043
2884.3536,66.0762
2884.5203,63.2549
2884.687,54.6391
2884.8536,52.0728
2885.0203,52.9539
2885.187,55.5317
2885.3536,54.7655
2885.5203,53.187
2885.687,51.3515
2885.8536,48.0504
2886.0203,48.2727
2886.187,50.8771
2886.3536,54.6462
2886.5203,53.1139
2886.687,52.8808
2886.8536,55.8736
2887.0203,61.8151
2887.187,62.6175
2887.3536,60.1535
2887.5203,56.9405
2887.687,57.9766
2887.8536,61.9465
2888.0203,64.4174
2888.187,63.0619
2888.3536,57.6919
2888.5203,55.7118
2888.687,58.3243
2888.8536,59.4873
2889.0203,59.6061
2889.187,57.4236
2889.3536,59.9203
2889.5203,63.1936
2889.687,67.566
2889.8536,66.6857
2890.0203,61.097
2890.187,59.8221
2890.3536,56.7157
2890.5203,60.5343
2890.687,54.1192
2890.8536,55.2239
2891.0203,54.5233
2891.187,55.0537
2891.3536,54.6584
2891.5203,54.8765
2891.687,58.8617
2891.8536,59.7475
2892.0203,55.9108
2892.187,55.4986
2892.3536,58.2763
2892.5203,65.5775
2892.687,67.2339
2892.8536,69.2931
2893.0203,64.4152
2893.187,61.2054
2893.3536,59.7709
2893.5203,54.6828
2893.687,54.6259
2893.8536,53.9015
2894.0203,59.752
2894.187,64.6795
2894.3536,60.2341
2894.5203,63.3385
2894.687,61.0855
2894.8536,61.0893
2895.0203,55.8583
2895.187,54.5001
2895.3536,54.7105
2895.5203,57.8699
2895.687,57.847
2895.8536,61.4706
2896.0203,58.5567
2896.187,60.9683
2896.3536,58.9468
2896.5203,58.413
2896.687,54.072
2896.8536,52.9809
2897.0203,53.5743
2897.187,57.6666
2897.3536,59.85
2897.5203,61.9194
2897.687,60.431
2897.8536,59.6108
2898.0203,61.5071
2898.187,59.9413
2898.3536,59.0871
2898.5203,52.9095
2898.687,52.5626
2898.8536,54.602
2899.0203,58.0461
2899.187,61.9143
2899.3536,62.876
2899.5203,61.5676
2899.687,57.4198
2899.8536,53.9531
2900.0203,56.002
2900.187,57.1315
2900.3536,55.4227
2900.5203,53.428
2900.687,56.154
2900.8536,60.1265
2901.0203,59.0909
2901.187,55.8209
2901.3536,56.8326
2901.5203,58.4567
2901.687,58.5775
2901.8536,59.7799
2902.0203,61.7671
2902.187,65.0756
2902.3536,65.4739
2902.5203,65.9533
2902.687,65.0683
2902.8536,60.951
2903.0203,57.1572
2903.187,55.6845
2903.3536,52.9986
2903.5203,50.988
2903.687,50.7979
2903.8536,55.773
2904.0203,63.0294
2904.187,68.9519
2904.3536,73.9574
2904.5203,71.7791
2904.687,65.962
2904.8536,62.3579
2905.0203,62.179
2905.187,62.47
2905.3536,60.4174
2905.5203,61.6161
2905.687,62.0932
2905.8536,66.5394
2906.0203,69.3569
2906.187,69.6801
2906.3536,68.2281
2906.5203,65.4055
2906.687,65.9551
2906.8536,64.241
2907.0203,67.1181
2907.187,67.9655
2907.3536,65.3203
2907.5203,56.703
2907.687,55.6492
2907.8536,57.518
2908.0203,57.7458
2908.187,54.0092
2908.3536,52.4316
2908.5203,51.4066
2908.687,53.6783
2908.8536,55.3024
2909.0203,58.5136
2909.187,58.7313
2909.3536,59.9416
2909.5203,61.2026
2909.687,58.725
2909.8536,55.6414
2910.0203,56.7485
2910.187,60.4828
2910.3536,64.2081
2910.5203,65.0364
2910.687,64.3917
2910.8536,65.4072
2911.0203,60.3247
2911.187,56.4743
2911.3536,56.8076
2911.5203,59.6679
2911.687,57.3573
2911.8536,57.988
2912.0203,54.2894
2912.187,57.4237
2912.3536,51.8317
2912.5203,54.2834
2912.687,56.7358
2912.8536,57.3805
2913.0203,56.4969
2913.187,55.2712
2913.3536,58.0034
2913.5203,56.8545
2913.687,55.1712
2913.8536,51.7993
2914.0203,52.1883
2914.187,51.9842
2914.3536,54.1697
2914.5203,59.7906
2914.687,60.5974
2914.8536,64.4153
2915.0203,63.6491
2915.187,67.1479
2915.3536,59.8593
2915.5203,60.1468
2915.687,56.5242
2915.8536,54.8033
2916.0203,51.496
2916.187,54.6665
2916.3536,66.0795
2916.5203,64.9049
2916.687,64.8387
2916.8536,54.5419
2917.0203,60.9555
2917.187,57.0197
2917.3536,56.6981
2917.5203,52.1368
2917.687,54.1713
2917.8536,62.9838
